tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directorsName,writersName
tt0004972,movie,The Birth of a Nation,The Birth of a Nation,1915,195,"Drama,War",6.1,27460,D.W. Griffith,"Thomas Dixon Jr., D.W. Griffith, Frank E. Woods, Woodrow Wilson, John M. Hay, John G. Nicolay"
tt0006206,movie,Les Vampires,Les vampires,1915,421,"Action,Adventure,Crime",7.3,5687,Louis Feuillade,Louis Feuillade
tt0006864,movie,Intolerance,Intolerance: Love's Struggle Throughout the Ages,1916,163,"Drama,History",7.7,17402,D.W. Griffith,"Hettie Grey Baker, Tod Browning, D.W. Griffith, Anita Loos, Mary H. O'Connor, Walt Whitman, Frank E. Woods"
tt0009968,movie,Broken Blossoms,Broken Blossoms or The Yellow Man and the Girl,1919,90,"Drama,Romance",7.2,11463,D.W. Griffith,"Thomas Burke, D.W. Griffith"
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,1920,67,"Horror,Mystery,Thriller",8.0,73489,Robert Wiene,"Carl Mayer, Hans Janowitz"
tt0011130,movie,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,1920,69,"Drama,Horror,Sci-Fi",6.9,6385,John S. Robertson,"Robert Louis Stevenson, Clara Beranger, Thomas Russell Sullivan, Oscar Wilde"
tt0011237,movie,The Golem,"Der Golem, wie er in die Welt kam",1920,91,"Fantasy,Horror",7.2,9066,"Paul Wegener, Carl Boese","Paul Wegener, Henrik Galeen"
tt0011841,movie,Way Down East,Way Down East,1920,145,"Drama,Romance",7.3,6116,D.W. Griffith,"Lottie Blair Parker, William A. Brady, Joseph R. Grismer, Anthony Paul Kelly, D.W. Griffith"
tt0012349,movie,The Kid,The Kid,1921,68,"Comedy,Drama,Family",8.2,141195,Charles Chaplin,Charles Chaplin
tt0012364,movie,The Phantom Carriage,Körkarlen,1921,107,"Drama,Fantasy,Horror",8.0,15040,Victor Sjöström,"Selma Lagerlöf, Victor Sjöström"
tt0012494,movie,Destiny,Der müde Tod,1921,114,"Drama,Fantasy,Horror",7.6,7066,Fritz Lang,"Fritz Lang, Thea von Harbou"
tt0012532,movie,Orphans of the Storm,Orphans of the Storm,1921,150,"Drama,History,Romance",7.3,5649,D.W. Griffith,"Adolphe d'Ennery, Eugène Cormon, D.W. Griffith"
tt0013086,movie,"Dr. Mabuse, the Gambler","Dr. Mabuse, der Spieler",1922,195,"Crime,Mystery,Thriller",7.8,9591,Fritz Lang,"Norbert Jacques, Thea von Harbou, Fritz Lang"
tt0013257,movie,Häxan,Häxan,1922,91,"Documentary,Fantasy,Horror",7.6,18044,Benjamin Christensen,Benjamin Christensen
tt0013427,movie,Nanook of the North,Nanook of the North,1922,78,Documentary,7.6,13963,Robert J. Flaherty,"Frances H. Flaherty, Robert J. Flaherty"
tt0013442,movie,Nosferatu: A Symphony of Horror,"Nosferatu, eine Symphonie des Grauens",1922,94,"Fantasy,Horror",7.8,118904,F.W. Murnau,"Bram Stoker, Henrik Galeen"
tt0014142,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,1923,133,"Drama,Horror,Romance",7.2,6442,Wallace Worsley,"Victor Hugo, Perley Poore Sheehan, Edward T. Lowe Jr., Chester L. Roberts"
tt0014341,movie,Our Hospitality,Our Hospitality,1923,65,"Comedy,Romance,Thriller",7.7,13067,"John G. Blystone, Buster Keaton","Jean C. Havez, Clyde Bruckman, Joseph A. Mitchell"
tt0014358,movie,The Pilgrim,The Pilgrim,1923,47,"Comedy,Western",7.2,5930,Charles Chaplin,Charles Chaplin
tt0014429,movie,Safety Last!,Safety Last!,1923,74,"Action,Comedy,Thriller",8.1,23976,"Fred C. Newmeyer, Sam Taylor","Hal Roach, Sam Taylor, Tim Whelan, H.M. Walker, Jean C. Havez, Harold Lloyd"
tt0014538,movie,Three Ages,Three Ages,1923,63,Comedy,7.0,5531,"Edward F. Cline, Buster Keaton","Clyde Bruckman, Joseph A. Mitchell, Jean C. Havez, Buster Keaton"
